odata.type,ID,Position,ParentID,Type,Key,Title,Description,MapYear,Datatype,Unit,Decimals,Default,PresentationType
Cbs.OData.Topic,72,54.0,70.0,Topic,GemiddeldeElektriciteitsteruglevering_54,Gemiddelde elektriciteitsteruglevering,"De gemiddelde teruglevering van elektriciteit vanaf individuele aansluitingen van particuliere woningen aan het openbare elektriciteitsnet.
De cijfers zijn afgerond op tientallen.
",,Long,,0.0,Impossible,Absolute
Cbs.OData.TopicGroup,73,,69.0,TopicGroup,,Gemiddeld aardgasverbruik,"Het gemiddeld jaarverbruik voor aardgas van particuliere woningen, zoals berekend uit de aansluitingenregisters van de energienetbedrijven.
Bij de berekening van het gemiddeld aardgasverbruik zijn woningen met een zeer laag of zelfs nulverbruik meegeteld indien er sprake is van stadsverwarming. Hierdoor valt in gebieden waar stadsverwarming aanwezig is het gemiddeld aardgasverbruik van woningen laag uit.

De cijfers zijn afgerond op tientallen en vermeld bij zes of meer (bewoonde) woningen per woningtype of type eigendom.

",,,,,,
Cbs.OData.Topic,74,55.0,73.0,Topic,GemiddeldAardgasverbruikTotaal_55,Gemiddeld aardgasverbruik totaal,Het gemiddeld aardgasverbruik voor alle woningtypen samen.,,Long,m³,0.0,Impossible,Absolute
Cbs.OData.Topic,75,56.0,73.0,Topic,PercentageWoningenMetStadsverwarming_56,Percentage woningen met stadsverwarming,"Het percentage woningen dat is aangesloten op stadsverwarming. 

Stadsverwarming is een verwarmingssysteem waarbij de woningen in een wijk worden verwarmd via een ondergronds netwerk van warmwaterleidingen. In veel gevallen maakt stadsverwarming gebruik van restwarmte van bijvoorbeeld elektriciteitscentrales. Het aardgasverbruik van deze woningen is in veel gevallen zeer laag of zelfs nul. De hoeveelheid warmte die door aangesloten woningen in een jaar wordt afgenomen van de stadsverwarming is niet beschikbaar. Het percentage is vermeld bij tien of meer (bewoonde) woningen. Voor de gemeentes is een percentage van minder dan vijf of groter dan 95 afgerond op vijftallen.
",,Double,%,1.0,Impossible,Relative
Cbs.OData.Topic,76,57.0,73.0,Topic,AardgasvrijeWoningen_57,Aardgasvrije woningen,"Het aandeel woningen dat geen gas verbruikt, maar hoofdzakelijk elektrisch is verwarmd en/of gekoppeld is aan stadsverwarming. De gaslevering is hier gelijk aan nul of er is geen gasaansluiting geconstateerd. 
Om onthulling van informatie over individuele huishoudens  te voorkomen zijn subpopulaties kleiner dan 100 woningen onderdrukt. Door afronding en onderdrukking tellen de verschillende subpopulaties niet altijd op tot de totale populatie.

De cijfers zijn afgerond op hele percentages.
",,Double,%,1.0,Impossible,Relative
Cbs.OData.Topic,77,58.0,73.0,Topic,Aardgaswoningen_58,Aardgaswoningen,"Het aandeel woningen dat hoofdzakelijk is verwarmd door middel van individuele CV of blokverwarming op gas. Bij deze woningen is geen elektrische verwarming en/of stadsverwarming geconstateerd. 
Om onthulling van informatie over individuele huishoudens  te voorkomen zijn subpopulaties kleiner dan 100 woningen onderdrukt. Door afronding en onderdrukking tellen de verschillende subpopulaties niet altijd op tot de totale populatie.

De cijfers zijn afgerond op hele percentages.
",,Double,%,1.0,Impossible,Relative
Cbs.OData.Topic,78,59.0,69.0,Topic,WoningenMetZonnestroom_59,Woningen met zonnestroom,"Het aandeel woningen met een  of meer zonnestroominstallaties. 
Om onthulling van informatie over individuele huishoudens  te voorkomen zijn subpopulaties kleiner dan 100 woningen onderdrukt. Door afronding en onderdrukking tellen de verschillende subpopulaties niet altijd op tot de totale populatie.
",,Double,%,1.0,Impossible,Relative
Cbs.OData.Topic,79,60.0,69.0,Topic,WoningenHoofdzElektrischVerwarmd_60,Woningen hoofdz. elektrisch verwarmd,"Het aandeel woningen dat hoofdzakelijk elektrisch is verwarmd, bijvoorbeeld via warmtepompen of stadsverwarming. 
Deze groep woningen is afgeleid uit gegevens over ISDE-subsidie, energielabels en/of maandelijks elektriciteitsverbruik. Om onthulling van informatie over individuele huishoudens  te voorkomen zijn subpopulaties kleiner dan 100 woningen onderdrukt. Door afronding en onderdrukking tellen de verschillende subpopulaties niet altijd op tot de totale populatie.
De cijfers zijn afgerond op hele percentages.
",,Double,%,1.0,Impossible,Relative
Cbs.OData.Topic,80,61.0,69.0,Topic,AantalPubliekeLaadpalen_61,Aantal publieke laadpalen,Het aantal publieke laadpalen per wijk en buurt die openbaar toegankelijk zijn. Laadpalen van particulieren bij woningen en bedrijven vallen hier niet onder.,,Long,aantal,0.0,Impossible,Absolute
Cbs.OData.TopicGroup,81,,,TopicGroup,,Onderwijs,,,,,,,
Cbs.OData.TopicGroup,82,,81.0,TopicGroup,,Onderwijssoort,"Leerlingen en studenten naar onderwijssoort en woonregio.
Deze indicator bevat het aantal leerlingen en studenten in het primair onderwijs (po), voortgezet onderwijs (vo) inclusief het voortgezet algemeen volwassenenonderwijs (vavo), middelbaar beroepsonderwijs (mbo), hoger beroepsonderwijs (hbo) en wetenschappelijk onderwijs (wo) naar woonregio op 1 oktober van een betreffend school-/studiejaar.
Leerlingen/studenten die bij meerdere onderwijssoorten staan ingeschreven, bijvoorbeeld hbo en wo, worden bij beide onderwijssoorten geteld.

De cijfers over het school-/studiejaar 2024/'25 zijn voorlopig.

Van sommige leerlingen of studenten is de woongemeente niet bekend. In dat geval worden deze alleen meegenomen in het totaal van Nederland. De optelling van gemeentelijke aantallen kan derhalve lager zijn dan het totaal van Nederland.
Het totaal aantal leerlingen en studenten woonachtig in een gemeente is inclusief de personen waarvan niet bekend is in welke wijk of buurt zij wonen. De optelling van aantallen bij de wijken binnen een gemeente kan derhalve lager zijn dan het totaal aantal van de gemeente. 
De onderwijscijfers zijn afgerond op tientallen. Hierdoor kan het ook voorkomen dat de som van regionale detailgegevens afwijkt van het totaal.

De woonregio is de regio waarin een leerling/student eind september van het betreffende school-/studiejaar woont. Wanneer van een leerling/student geen inschrijving bekend is in de Basisregistratie Personen, is de regio gebruikt waarin de leerling/student volgens de onderwijsregistratie verblijft. 
Een leerling/student kan in een andere regio naar school gaan. Vooral bij het hoger onderwijs starten regelmatig Duitse en Belgische studenten hun opleiding net over de grens in Nederland maar wonen dan nog in Duitsland of België, waardoor ze bij woonregio onbekend worden geteld.
",,,,,,
Cbs.OData.Topic,83,62.0,82.0,Topic,LeerlingenPo_62,Leerlingen po,"Leerlingen primair onderwijs. Onder primair onderwijs (po) wordt verstaan het basisonderwijs, het speciaal basisonderwijs zoals opgenomen in de Wet Primair Onderwijs en de speciale scholen zoals opgenomen in de Wet op de Expertisecentra.
Het betreft voorlopige cijfers.
",,Long,aantal,0.0,Impossible,Absolute
Cbs.OData.Topic,84,63.0,82.0,Topic,LeerlingenVoInclVavo_63,Leerlingen vo (incl. vavo) ,"Leerlingen voortgezet onderwijs inclusief voortgezet algemeen volwassenenonderwijs. Voortgezet onderwijs (vo) omvat algemene leerjaren, voorbereidend wetenschappelijk onderwijs (vwo), hoger algemeen voortgezet onderwijs (havo), voorbereidend middelbaar beroepsonderwijs (vmbo) inclusief leerwegondersteunend onderwijs (lwoo) en praktijkonderwijs.
Voortgezet algemeen volwassenenonderwijs (vavo) was oorspronkelijk voor volwassenen opgezet, maar is steeds meer tweedekansonderwijs geworden voor leerlingen die niet gelijk een diploma in het voortgezet onderwijs hebben behaald. Leerlingen in het vavo kunnen een diploma of deelcertificaat behalen op het niveau van vwo, havo of vmbo theoretische leerweg.
Het betreft voorlopige cijfers.
",,Long,aantal,0.0,Impossible,Absolute
Cbs.OData.Topic,85,64.0,82.0,Topic,StudentenMboExclExtranei_64,Studenten mbo (excl. extranei),"Studenten middelbaar beroepsonderwijs (exclusief extranei). Totaal Middelbaar beroepsonderwijs (mbo) (exclusief extranei) bestaande uit de leerwegen beroepsopleidende leerweg (bol; voltijd en deeltijd) en beroepsbegeleidende leerweg (bbl).
Het betreft voorlopige cijfers.
",,Long,aantal,0.0,Impossible,Absolute
Cbs.OData.Topic,86,65.0,82.0,Topic,StudentenHbo_65,Studenten hbo,"Studenten hoger beroepsonderwijs. Hoger beroepsonderwijs (hbo) is een onderwijssoort binnen het hoger onderwijs. Het hbo leidt over het algemeen op tot een bachelorgraad. Daarnaast zijn er kortere programma's die opleiden tot een associate degree. Ook kunnen hogescholen een masteropleiding aanbieden. Hbo-opleidingen worden verzorgd door hogescholen.
Het betreft voorlopige cijfers.
",,Long,aantal,0.0,Impossible,Absolute
Cbs.OData.Topic,87,66.0,82.0,Topic,StudentenWo_66,Studenten wo,"Studenten wetenschappelijk onderwijs. Het wetenschappelijk onderwijs (wo) is een onderwijssoort binnen het hoger onderwijs. Het wo leidt over het algemeen op tot een bachelor- of mastergraad. Ook is het mogelijk een diploma voor een vervolg- of beroepsopleiding te halen. Wo-opleidingen worden verzorgd door universiteiten.
Het betreft voorlopige cijfers.
",,Long,aantal,0.0,Impossible,Absolute
Cbs.OData.TopicGroup,88,,81.0,TopicGroup,,Hoogst behaald onderwijsniveau,"Deze variabelen geven het hoogst behaalde onderwijsniveau van personen per gemeente, wijk en buurt in Nederland. De gegevens hebben betrekking op alle personen die op 1 oktober in een Nederlandse gemeente waren ingeschreven en op dat moment behoorden tot de leeftijdscategorie 15 tot 75 jaar.

Cijfers worden afgerond op tientallen.
De gepresenteerde cijfers kunnen licht afwijken van de som van de gegevens op onderliggende regionale niveaus. Dit heeft te maken met afronding evenals met de toegepaste schattingsmethode.
Buurten / wijken met minder dan 30 inwoners worden onderdrukt. Het kan voorkomen dat extra buurten  / wijken worden onderdrukt i.v.m. risico op indirecte onthulling of groepsonthulling. 
",,,,,,
Cbs.OData.Topic,89,67.0,88.0,Topic,BasisonderwijsVmboMbo1_67,"Basisonderwijs, vmbo, mbo1","Het aantal personen die op 1 oktober (jaar T) tussen de 15 en 75 jaar oud waren en waren ingeschreven in een Nederlandse gemeente, waarvan het hoogst behaalde onderwijsniveau basisonderwijs, vmbo of mbo1 betreft. ",,Long,aantal,0.0,Impossible,Absolute
Cbs.OData.Topic,90,68.0,88.0,Topic,HavoVwoMbo24_68,"Havo, vwo, mbo2-4","Het aantal personen die op 1 oktober (jaar T) tussen de 15 en 75 jaar oud waren en waren ingeschreven in een Nederlandse gemeente, waarvan het hoogst behaalde onderwijsniveau havo, vwo of mbo2, mbo3 of mbo4  betreft.",,Long,aantal,0.0,Impossible,Absolute
Cbs.OData.Topic,91,69.0,88.0,Topic,HboWo_69,"Hbo, wo","Het aantal personen die op 1 oktober (jaar T) tussen de 15 en 75 jaar oud waren en waren ingeschreven in een Nederlandse gemeente, waarvan het hoogstbehaalde onderwijsniveau hbo of wo betreft.",,Long,aantal,0.0,Impossible,Absolute
Cbs.OData.TopicGroup,92,,,TopicGroup,,Arbeid,"Deze variabelen geven per gemeente, wijk en buurt inzicht in de nettoarbeidsparticipatie en het percentage werknemers en zelfstandigen. 

De nettoarbeidsparticipatie is vermeld als percentage van het totaal aantal personen van 15 tot 75 jaar en vermeld bij minimaal 150 inwoners in een buurt. Het percentage werknemers en het percentage zelfstandigen zijn vermeld bij minimaal 150 werkenden (van 15 tot 75 jaar) in een buurt.
",,,,,,
Cbs.OData.Topic,93,70.0,92.0,Topic,WerkzameBeroepsbevolking_70,Werkzame beroepsbevolking,,,Long,aantal,0.0,Impossible,Absolute
Cbs.OData.Topic,94,71.0,92.0,Topic,Nettoarbeidsparticipatie_71,Nettoarbeidsparticipatie,"Het aandeel van de werkzame beroepsbevolking in de bevolking (beroeps- en niet-beroepsbevolking).

Deze definitie heeft betrekking op personen die in Nederland wonen (exclusief de institutionele bevolking). De gegevens worden meestal gepresenteerd voor de bevolking van 15 tot 75 jaar.

Het betreft voorlopige cijfers.
",,Long,%,0.0,Impossible,Relative
Cbs.OData.TopicGroup,95,,92.0,TopicGroup,,Onderverdeling werkenden,,,,,,,
Cbs.OData.Topic,96,72.0,95.0,Topic,PercentageWerknemers_72,Percentage werknemers,"Een persoon die in een arbeidsovereenkomst afspraken met een economische eenheid maakt om arbeid te verrichten waartegenover een financiële beloning staat.

Als een persoon meer dan één baan of werkkring heeft, dan wordt uitgegaan van de baan of werkkring waaraan de meeste tijd wordt besteed.

Het betreft voorlopige cijfers.
",,Long,%,0.0,Impossible,Relative
Cbs.OData.Topic,97,73.0,95.0,Topic,WerknemersMetVasteArbeidsr_73,Werknemers met vaste arbeidsr,"Een werknemer met een arbeidsovereenkomst voor onbepaalde tijd én een vast aantal uren per week.

Het betreft voorlopige cijfers.
",,Long,%,0.0,Impossible,Relative
Cbs.OData.Topic,98,74.0,95.0,Topic,WerknemersMetFlexibeleArbe_74,Werknemers met flexibele arbe,"Een werknemer met een arbeidsovereenkomst voor bepaalde tijd óf een flexibel aantal uren per week.

Tot de werknemers met een flexibele arbeidsrelatie behoren:
- Werknemer tijdelijk, uitzicht op vast 
- Werknemer tijdelijk >=1 jaar
- Werknemer tijdelijk <1 jaar
- Oproep/-invalkracht
- Uitzendkracht
- Werknemer flex, contract onbekend.

Het betreft voorlopige cijfers.
",,Long,%,0.0,Impossible,Relative
Cbs.OData.Topic,99,75.0,95.0,Topic,PercentageZelfstandigen_75,Percentage zelfstandigen,"Een persoon die voor eigen rekening of risico arbeid verricht 
- in een eigen bedrijf of praktijk (zelfstandig ondernemer),  
- als directeur-grootaandeelhouder (dga),
- in het bedrijf of de praktijk van een gezinslid (meewerkend gezinslid), of 
- als overige zelfstandige.

Als een persoon meer dan één baan of werkkring heeft, dan wordt uitgegaan van de baan of werkkring waaraan de meeste tijd wordt besteed.

Het betreft voorlopige cijfers.
",,Long,%,0.0,Impossible,Relative
Cbs.OData.TopicGroup,100,,,TopicGroup,,Inkomen,"Deze variabelen geven informatie over het persoonlijk inkomen van personen in particuliere huishoudens waarvan het inkomen is waargenomen en het inkomen van particuliere huishoudens met een waargenomen inkomen. De gegevens komen uit de Integrale Inkomens- en Vermogensstatistiek (IIVS) met als populatie de bevolking van Nederland op 1 januari van het verslagjaar met het inkomen over het verslagjaar. 

De Integrale Inkomens- en Vermogensstatistiek van het CBS is voornamelijk gebaseerd op registers afkomstig van het Ministerie van Financiën (de fiscale registers) en de bevolkingsregisters van de Nederlandse gemeenten (Basisregistratie personen). De Basisregistratie personen is een register waarin alle inwoners van een gemeente behoren te zijn ingeschreven. Uitgezonderd zijn:
- Inwoners van Nederland die gebruik maken van uitzonderingsregels die gelden met betrekking tot opneming in de bevolkingsregisters (niet-Nederlandse diplomaten en niet-Nederlandse NAVO militairen). Zij mogen zelf bepalen of zij in de bevolkingsregisters ingeschreven worden of niet.
- Asielzoekers die korter dan zes maanden in de centrale opvang verblijven en nog geen verblijfsvergunning hebben gekregen.
",,,,,,
Cbs.OData.TopicGroup,101,,100.0,TopicGroup,,Personen,"De doelpopulatie bestaat uit personen behorende tot particuliere huishoudens waarvan het inkomen is waargenomen.
 
De inkomensgegevens zijn gebaseerd op het persoonlijk inkomen. Dit omvat de volgende bestanddelen van het bruto-inkomen van een persoon:
- inkomen uit arbeid;
- inkomen uit eigen onderneming;
- uitkering inkomensverzekeringen;
- uitkering sociale voorzieningen (met uitzondering van kinderbijslag).
",,,,,,
Cbs.OData.Topic,102,76.0,101.0,Topic,AantalInkomensontvangers_76,Aantal inkomensontvangers  ,"Personen met persoonlijk inkomen in particuliere huishoudens. 
De cijfers zijn afgerond op honderdtallen.

Het betreft voorlopige cijfers.
",,Long,aantal,0.0,Impossible,Absolute
Cbs.OData.Topic,103,77.0,101.0,Topic,GemiddeldInkomenPerInkomensontvanger_77,Gemiddeld inkomen per inkomensontvanger ,"Het rekenkundig gemiddeld persoonlijk inkomen per persoon op basis van personen met persoonlijk inkomen die deel uitmaken van particuliere huishoudens.
De waarde is vermeld bij minimaal 2.500 personen met persoonlijk inkomen in particuliere huishoudens per regio.

Het betreft voorlopige cijfers.
",,Double,x 1 000 euro,1.0,Impossible,Relative
Cbs.OData.Topic,104,78.0,101.0,Topic,GemiddeldInkomenPerInwoner_78,Gemiddeld inkomen per inwoner ,"Het rekenkundig gemiddeld persoonlijk inkomen per persoon op basis van de totale bevolking in particuliere huishoudens.
De waarde is vermeld bij minimaal 2.500 personen in particuliere huishoudens per regio.

Het betreft voorlopige cijfers.
",,Double,x 1 000 euro,1.0,Impossible,Relative
Cbs.OData.Topic,105,79.0,101.0,Topic,k_40PersonenMetLaagsteInkomen_79,40% personen met laagste inkomen,"Aandeel personen in particuliere huishoudens die behoren tot de landelijke 40% personen met het laagste persoonlijk inkomen.
Personen met persoonlijk inkomen in particuliere huishoudens zijn ingedeeld naar hoogte van het persoonlijk inkomen. 
De indeling vindt plaats nadat alle personen landelijk zijn gerangschikt van laag naar hoog persoonlijk inkomen. Tot de laagste 40-procent-groep worden de veertig procent personen met het laagste persoonlijk inkomen gerekend.
Het persoonlijk inkomen omvat inkomen uit arbeid, inkomen uit eigen onderneming, uitkering inkomensverzekeringen en uitkering sociale voorzieningen (met uitzondering van kinderbijslag).
Het percentage is vermeld bij minimaal 100 personen met persoonlijk inkomen in particuliere huishoudens per regio.

Het betreft voorlopige cijfers.

",,Double,%,1.0,Impossible,Relative
Cbs.OData.Topic,106,80.0,101.0,Topic,k_20PersonenMetHoogsteInkomen_80,20% personen met hoogste inkomen,"Aandeel personen in particuliere huishoudens die behoren tot de landelijke 20% personen met het hoogste persoonlijk inkomen.
Personen met persoonlijk inkomen in particuliere huishoudens zijn ingedeeld naar hoogte van het persoonlijk inkomen. 
De indeling vindt plaats nadat alle personen landelijk zijn gerangschikt van laag naar hoog persoonlijk inkomen. Tot de hoogste 20-procent-groep worden de twintig procent personen met het hoogste persoonlijk inkomen gerekend.
Het persoonlijk inkomen omvat inkomen uit arbeid, inkomen uit eigen onderneming, uitkering inkomensverzekeringen en uitkering sociale voorzieningen (met uitzondering van kinderbijslag).
Het percentage is vermeld bij minimaal 100 personen met persoonlijk inkomen in particuliere huishoudens per regio.

Het betreft voorlopige cijfers.

",,Double,%,1.0,Impossible,Relative
Cbs.OData.Topic,107,81.0,101.0,Topic,PersonenInArmoede_81,Personen in armoede,Het aantal personen in particuliere huishoudens met een huishoudensinkomen onder de armoedegrens ten opzichte van het totaal aantal personen in particuliere huishoudens.,,Double,%,1.0,Impossible,Relative
Cbs.OData.Topic,108,82.0,101.0,Topic,PersonenTot25BovenArmoedegrens_82,Personen tot 25% boven armoedegrens,"Het aantal personen in particuliere huishoudens met een huishoudensinkomen tussen de armoedegrens en 25% boven de armoedegrens, ten opzichte van het totaal aantal personen in particuliere huishoudens.",,Double,%,1.0,Impossible,Relative
Cbs.OData.TopicGroup,109,,100.0,TopicGroup,,Huishoudens,De doelpopulatie bestaat uit particuliere huishoudens waarvan het inkomen is waargenomen.,,,,,,
Cbs.OData.Topic,110,83.0,109.0,Topic,GemGestandaardiseerdInkomen_83,Gem. gestandaardiseerd inkomen,"Het besteedbaar inkomen gecorrigeerd voor verschillen in grootte en samenstelling van het huishouden. Deze correctie vindt plaats met behulp van equivalentiefactoren. In de equivalentiefactor komen de schaalvoordelen tot uitdrukking die het gevolg zijn van het voeren van een gemeenschappelijke huishouding. Met behulp van de equivalentiefactoren worden alle inkomens herleid tot het inkomen van een eenpersoonshuishouden. Op deze wijze zijn de welvaartsniveaus van huishoudens onderling vergelijkbaar gemaakt. Het gestandaardiseerd inkomen is een maat voor de welvaart van (de leden van) een huishouden.

Het betreft voorlopige cijfers.

",,Double,x 1 000 euro,1.0,Impossible,Relative
Cbs.OData.Topic,111,84.0,109.0,Topic,k_40HuishoudensMetLaagsteInkomen_84,40% huishoudens met laagste inkomen,"Aandeel particuliere huishoudens die behoren tot de landelijke 40% huishoudens met het laagste huishoudensinkomen.
Particuliere huishoudens zijn ingedeeld naar hoogte van het besteedbaar huishoudensinkomen. 
De indeling vindt plaats nadat huishoudens landelijk zijn gerangschikt van laag naar hoog besteedbaar huishoudensinkomen. Tot de laagste 40-procent-groep worden de veertig procent huishoudens met het laagste besteedbaar inkomen gerekend.
Het percentage is vermeld bij minimaal 100 particuliere huishoudens per regio. 

Het besteedbaar inkomen van particuliere huishoudens bestaat uit het bruto-inkomen verminderd met: 
- betaalde inkomensoverdrachten, zoals alimentatie van de ex-echtgeno(o)t(e);
- premies inkomensverzekeringen zoals premies betaald voor sociale verzekeringen, volksverzekeringen en particuliere verzekeringen in verband met werkloosheid, arbeidsongeschiktheid en ouderdom en nabestaanden;
- premies ziektekostenverzekeringen;
- belastingen op inkomen en vermogen.

Het betreft voorlopige cijfers.
",,Double,%,1.0,Impossible,Relative
Cbs.OData.Topic,112,85.0,109.0,Topic,k_20HuishoudensMetHoogsteInkomen_85,20% huishoudens met hoogste inkomen,"Aandeel particuliere huishoudens die behoren tot de landelijke 20% huishoudens met het hoogste huishoudensinkomen.
Particuliere huishoudens zijn ingedeeld naar hoogte van het besteedbaar huishoudensinkomen. 
De indeling vindt plaats nadat huishoudens landelijk zijn gerangschikt van laag naar hoog besteedbaar huishoudensinkomen. Tot de hoogste 20-procent-groep worden de twintig procent huishoudens met het hoogste besteedbaar inkomen gerekend.
Het percentage is vermeld bij minimaal 100 particuliere huishoudens per regio. 

Het besteedbaar inkomen van particuliere huishoudens bestaat uit het bruto-inkomen verminderd met: 
- betaalde inkomensoverdrachten, zoals alimentatie van de ex-echtgeno(o)t(e);
- premies inkomensverzekeringen zoals premies betaald voor sociale verzekeringen, volksverzekeringen en particuliere verzekeringen in verband met werkloosheid, arbeidsongeschiktheid en ouderdom en nabestaanden;
- premies ziektekostenverzekeringen;
- belastingen op inkomen en vermogen.

Het betreft voorlopige cijfers.
",,Double,%,1.0,Impossible,Relative
Cbs.OData.Topic,113,86.0,109.0,Topic,MediaanVermogenVanParticuliereHuish_86,Mediaan vermogen van particuliere huish.,"De mediaan is het middelste getal wanneer alle getallen van laag naar hoog worden gesorteerd. Vermogen is het saldo van bezittingen en schulden. Bezittingen worden gevormd door bank- en spaartegoeden, effecten, de eigen woning, overig onroerend goed, ondernemingsvermogen, aanmerkelijk belang en de overige bezittingen. De schulden omvatten onder meer schulden ten behoeve van een eigen woning en consumptief krediet.

Het betreft voorlopige cijfers.
",,Long,x 1 000 euro,0.0,Impossible,Relative
Cbs.OData.TopicGroup,114,,,TopicGroup,,Sociale zekerheid,"Deze variabelen geven per gemeente, wijk en buurt inzicht in het aantal personen dat een uitkering ontvangt op grond van arbeidsongeschiktheid, bijstand, werkloosheid en ouderdom.
Het is mogelijk dat een persoon aanspraak maakt op meer dan één uitkering. Dat kunnen uitkeringen zijn van eenzelfde soort (bijvoorbeeld twee uitkeringen op grond van de Wet op de arbeidsongeschiktheidsverzekering (WAO)) of twee uitkeringen van verschillende soort (zoals een uitkering op grond van de Werkloosheidswet en een bijstandsuitkering). In het laatste geval wordt de persoon bij beide soorten uitkeringen meegeteld, in het eerste geval slechts één keer (bij de WAO).

Op het gebied van sociale zekerheid vinden er regelmatig revisies plaats. Via het thema sociale zekerheid in StatLine vindt u altijd de meest recente cijfers.   

",,,,,,
Cbs.OData.Topic,115,87.0,114.0,Topic,PersonenPerSoortUitkeringBijstand_87,Personen per soort uitkering; Bijstand,"Personen die een bijstandsuitkering op grond van de Participatiewet ontvangen.
Personen met een uitkering die verblijven in een instelling, de elders verzorgden, zijn niet inbegrepen. Ook dak- en thuislozen met bijstand zijn niet inbegrepen. De cijfers zijn standcijfers op de laatste dag van verslagmaand december.

Participatiewet
De Participatiewet vervangt sinds 1 januari 2015 de Wet werk en bijstand (WWB), de Wet Sociale Werkvoorziening (WsW) en een groot deel van de Wet werk en arbeidsondersteuning jonggehandicapten (wet Wajong).De Participatiewet komt vrijwel overeen met de WWB, maar nog sterker wordt de nadruk gelegd op participatie aan het arbeidsproces.
De wet regelt in Nederland de ondersteuning bij arbeidsinschakeling en het verlenen van bijstand door gemeenten voor mensen die weinig of geen ander inkomen (waaronder andere uitkeringen) hebben en ook weinig of geen vermogen. Gemeenten voeren de wet uit en bepalen, binnen de wettelijke grenzen, hun eigen beleid.


Op het gebied van sociale zekerheid vinden er regelmatig revisies plaats. Via het thema sociale zekerheid in StatLine vindt u altijd de meest recente cijfers.   
",,Long,aantal,0.0,Impossible,Absolute
Cbs.OData.Topic,116,88.0,114.0,Topic,PersonenPerSoortUitkeringAO_88,Personen per soort uitkering; AO,"Personen die een arbeidsongeschiktheidsuitkering ontvangen op grond van de Wet op de arbeidsongeschiktheidsverzekering (WAO), de Wet arbeidsongeschiktheidsverzekering zelfstandigen (WAZ), Wet werk en arbeidsondersteuning jonggehandicapten (wet Wajong) en de Wet werk en Inkomen naar arbeidsvermogen (WIA). De cijfers zijn standcijfers op de laatste dag van verslagmaand december.

Wet op de arbeidsongeschiktheidsverzekering (WAO)
Wet die als doel heeft om personen in loondienst te verzekeren van een loonvervangende uitkering bij langdurige arbeidsongeschiktheid. De WAO is met ingang van 29 december 2005 vervangen door de Wet werk en inkomen naar arbeidsvermogen (WIA), maar blijft bestaan voor mensen die al een WAO-uitkering hadden of binnen 5 jaar na het beëindigen van de uitkering opnieuw arbeidsongeschikt worden door dezelfde oorzaak.

Wet arbeidsongeschiktheidsverzekering zelfstandigen (WAZ)
Een verplichte verzekering voor zelfstandigen, beroepsbeoefenaren, directeuren-grootaandeelhouders en meewerkende echtgenoten tegen de financiële gevolgen van langdurige arbeidsongeschiktheid. 
De WAZ is met ingang van 1 augustus 2004 geblokkeerd, maar blijft bestaan voor mensen die al een WAZ-uitkering hadden.

Wet werk en arbeidsondersteuning jonggehandicapten (wet Wajong)
Wettelijke voorziening in de financiële gevolgen van langdurige arbeidsongeschiktheid van mensen die geen aanspraak kunnen maken op de WAO/WIA omdat er geen arbeidsverleden is opgebouwd. 
Dit zijn mensen die arbeidsongeschikt zijn voor de dag dat zij 17 jaar worden of na hun 17e jaar arbeidsongeschikt worden en een opleiding of studie volgen.

Met ingang van 1 januari 2010 is de Wet werk en arbeidsondersteuning jonggehandicapten (Wet Wajong) in werking getreden, ter vervanging van de oude Wajong. 
In tegenstelling tot de 'oude' Wajong hebben jongeren met een ziekte of handicap in de eerste plaats recht op hulp bij het vinden en houden van werk. Daaraan gekoppeld kunnen ze een inkomensondersteuning krijgen. De 'oude' Wajong blijft gelden voor jongeren die voor 1 januari 2010 een uitkering hebben aangevraagd.

Wet werk en inkomen naar arbeidsvermogen (WIA)
De wet geeft werknemers die na een wachttijd van twee jaar nog minstens 35 procent arbeidsongeschikt zijn, recht op een uitkering.
De wet is zo opgezet dat een persoon gestimuleerd wordt om naar vermogen te werken.
De WIA kent twee regelingen: de regeling inkomensvoorziening volledig arbeidsongeschikten (IVA) en de regeling werkhervatting gedeeltelijk arbeidsgeschikten (WGA).
De IVA regelt een loonvervangende uitkering voor werknemers die volledig en duurzaam arbeidsongeschikt zijn.
De WGA regelt een aanvulling op het met arbeid verdiende inkomen of een minimumuitkering als men niet of onvoldoende werkt.


Op het gebied van sociale zekerheid vinden er regelmatig revisies plaats. Via het thema sociale zekerheid in StatLine vindt u altijd de meest recente cijfers.
",,Long,aantal,0.0,Impossible,Absolute
Cbs.OData.Topic,117,89.0,114.0,Topic,PersonenPerSoortUitkeringWW_89,Personen per soort uitkering; WW,"Personen die een uitkering ontvangen op grond van de Werkloosheidswet (WW). De cijfers zijn standcijfers op de laatste dag van verslagmaand december.

Werkloosheidswet (WW)
De wet heeft tot doel werknemers te verzekeren tegen de financiële gevolgen van werkloosheid. 
De wet voorziet in een uitkering die gerelateerd is aan het laatstverdiende inkomen uit dienstbetrekking. De duur van de uitkering is afhankelijk van het arbeidsverleden van de verzekerde. Het Uitvoeringsinstituut Werknemersverzekeringen (UWV) beoordeelt of men voor een WW-uitkering in aanmerking komt.


Op het gebied van sociale zekerheid vinden er regelmatig revisies plaats. Via het thema sociale zekerheid in StatLine vindt u altijd de meest recente cijfers.   
",,Long,aantal,0.0,Impossible,Absolute
